collection_path,document_id,data
cars,2020-4Runner-SR5-SR5 4dr SUV 4WD (4.0L 6cyl 5A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": 4700.0, ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 15788.25, ""valves"": 24, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 22, ""curb_weight"": 4400.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""rear wheel drive"", ""msrp"": 35085, ""description"": ""SR5 4dr SUV 4WD (4.0L 6cyl 5A)"", ""trim_description"": ""SR5 4dr SUV (4.0L 6cyl 5A)"", ""length"": 190.2, ""submodel_id"": 65293, ""id"": 23500, ""trim_id"": 23500, ""wheel_base"": 109.8, ""seats"": 5, ""combined_mpg"": 19.0, ""doors"": 5, ""max_payload"": 1700.0, ""horsepower_rpm"": 5600, ""horsepower_hp"": 270, ""model_id"": 4841, ""year"": 2020, ""type"": ""SUV"", ""torque_rpm"": 4400.0, ""submodel"": ""SR5"", ""cargo_capacity"": 47.2, ""epa_combined_mpg_electric"": """", ""img_path"": ""a34c4a4478a144d98cbfbdcfa24f656e.jpeg"", ""cylinders"": ""V6"", ""height"": 71.5, ""trim"": ""SR5"", ""torque_ft_lbs"": 278.0, ""epa_kwh_100_mi_electric"": """", ""size"": 4.0, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 17.0, ""invoice"": ""32279"", ""ground_clearance"": 9.0, ""range_city"": 391, ""range_highway"": 506, ""rear_track"": """", ""gross_weight"": 6100.0, ""hack-id"": ""2020-4Runner-SR5-SR5 4dr SUV 4WD (4.0L 6cyl 5A)"", ""engine_type"": ""gas"", ""width"": 75.8, ""model"": ""4Runner"", ""transmission"": ""5-speed shiftable automatic"", ""fuel_tank_capacity"": 23.0, ""expected_value_2027"": 14384.85, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": 89.7, ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": 4700.0, ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 18589.5, ""valves"": 24, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 21, ""curb_weight"": """", ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""four wheel drive"", ""msrp"": 41310, ""description"": ""TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A)"", ""trim_description"": ""TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A)"", ""length"": 191.3, ""submodel_id"": 65295, ""id"": 23508, ""trim_id"": 23508, ""wheel_base"": 109.8, ""seats"": 5, ""combined_mpg"": 18.0, ""doors"": 5, ""max_payload"": """", ""horsepower_rpm"": 5600, ""horsepower_hp"": 270, ""model_id"": 4841, ""year"": 2020, ""type"": ""SUV"", ""torque_rpm"": 4400.0, ""submodel"": ""TRD Pro"", ""cargo_capacity"": 47.2, ""epa_combined_mpg_electric"": """", ""img_path"": ""92b2ec64da6947aeb7aa8e5540894b45.jpeg"", ""cylinders"": ""V6"", ""height"": """", ""trim"": ""TRD PRO"", ""torque_ft_lbs"": 278.0, ""epa_kwh_100_mi_electric"": """", ""size"": 4.0, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 17.0, ""invoice"": ""38004"", ""ground_clearance"": """", ""range_city"": 391, ""range_highway"": 483, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A)"", ""engine_type"": ""gas"", ""width"": 75.8, ""model"": ""4Runner"", ""transmission"": ""5-speed shiftable automatic"", ""fuel_tank_capacity"": 23.0, ""expected_value_2027"": 16937.1, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": 89.7, ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl 6A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 10336.5, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 35, ""curb_weight"": 3240.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 22970, ""description"": ""LE 4dr Sedan (2.5L 4cyl 6A)"", ""trim_description"": ""LE 4dr Sedan (2.5L 4cyl 6A)"", ""length"": 190.9, ""submodel_id"": 65274, ""id"": 23517, ""trim_id"": 23517, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 28.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 178, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4100.0, ""submodel"": ""LE"", ""cargo_capacity"": 15.4, ""epa_combined_mpg_electric"": """", ""img_path"": ""3c370ac906084b97a1810e90d7d7e836.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""LE"", ""torque_ft_lbs"": 170.0, ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 25.0, ""invoice"": ""21017"", ""ground_clearance"": """", ""range_city"": 425, ""range_highway"": 595, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl 6A)"", ""engine_type"": ""gas"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""6-speed shiftable automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 9417.7, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl 6A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 10728.0, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 35, ""curb_weight"": 3300.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 23840, ""description"": ""SE 4dr Sedan (2.5L 4cyl 6A)"", ""trim_description"": ""SE 4dr Sedan (2.5L 4cyl 6A)"", ""length"": 190.9, ""submodel_id"": 65275, ""id"": 23518, ""trim_id"": 23518, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 28.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 178, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4100.0, ""submodel"": ""SE"", ""cargo_capacity"": 15.4, ""epa_combined_mpg_electric"": """", ""img_path"": ""417d36a059ed45c49cd0830560bbda22.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""SE"", ""torque_ft_lbs"": 170.0, ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 25.0, ""invoice"": ""21694"", ""ground_clearance"": """", ""range_city"": 425, ""range_highway"": 595, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl 6A)"", ""engine_type"": ""gas"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""6-speed shiftable automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 9774.4, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl gaselectric hybrid CVT),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 12597.75, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 38, ""curb_weight"": 3565.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 27995, ""description"": ""SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT)"", ""trim_description"": ""SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT)"", ""length"": 190.9, ""submodel_id"": 65272, ""id"": 23524, ""trim_id"": 23524, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 40.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 5700, ""horsepower_hp"": 200, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": """", ""submodel"": ""Hybrid SE"", ""cargo_capacity"": 13.1, ""epa_combined_mpg_electric"": """", ""img_path"": ""e2e0e7623dbd415da460b25e9e26f7e2.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""SE"", ""torque_ft_lbs"": """", ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 40.0, ""invoice"": ""25756"", ""ground_clearance"": """", ""range_city"": 680, ""range_highway"": 646, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl gaselectric hybrid CVT)"", ""engine_type"": ""hybrid"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""continuously variable-speed automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 11477.95, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 6A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 11767.5, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 35, ""curb_weight"": 3340.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 26150, ""description"": ""XLE 4dr Sedan (2.5L 4cyl 6A)"", ""trim_description"": ""XLE 4dr Sedan (2.5L 4cyl 6A)"", ""length"": 190.9, ""submodel_id"": 65276, ""id"": 23521, ""trim_id"": 23521, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 28.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 178, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4100.0, ""submodel"": ""XLE"", ""cargo_capacity"": 15.4, ""epa_combined_mpg_electric"": """", ""img_path"": ""212068683174498ab838a2b282d04d03.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""XLE"", ""torque_ft_lbs"": 170.0, ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 25.0, ""invoice"": ""23797"", ""ground_clearance"": """", ""range_city"": 425, ""range_highway"": 595, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 6A)"", ""engine_type"": ""gas"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""6-speed shiftable automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 10721.5, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gaselectric hybrid CVT),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 13491.0, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 38, ""curb_weight"": 3585.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 29980, ""description"": ""XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT)"", ""trim_description"": ""XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT)"", ""length"": 190.9, ""submodel_id"": 65273, ""id"": 23525, ""trim_id"": 23525, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 40.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 5700, ""horsepower_hp"": 200, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": """", ""submodel"": ""Hybrid XLE"", ""cargo_capacity"": 13.1, ""epa_combined_mpg_electric"": """", ""img_path"": ""543be722070744a9a2ea33212d900f25.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""XLE"", ""torque_ft_lbs"": """", ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 40.0, ""invoice"": ""27583"", ""ground_clearance"": """", ""range_city"": 680, ""range_highway"": 646, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gaselectric hybrid CVT)"", ""engine_type"": ""hybrid"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""continuously variable-speed automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 12291.8, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 6A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 14116.5, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 35, ""curb_weight"": 3340.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 31370, ""description"": ""XLE 4dr Sedan (3.5L 6cyl 6A)"", ""trim_description"": ""XLE 4dr Sedan (2.5L 4cyl 6A)"", ""length"": 190.9, ""submodel_id"": 65276, ""id"": 23521, ""trim_id"": 23521, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 28.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 178, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4100.0, ""submodel"": ""XLE"", ""cargo_capacity"": 15.4, ""epa_combined_mpg_electric"": """", ""img_path"": ""3461007e61cb4f6ab26df5d1c143de68.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""XLE"", ""torque_ft_lbs"": 170.0, ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 25.0, ""invoice"": ""28546"", ""ground_clearance"": """", ""range_city"": 425, ""range_highway"": 595, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 6A)"", ""engine_type"": ""gas"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""6-speed shiftable automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 12861.7, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 6A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 14116.5, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 35, ""curb_weight"": 3350.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 31370, ""description"": ""XSE 4dr Sedan (3.5L 6cyl 6A)"", ""trim_description"": ""XSE 4dr Sedan (2.5L 4cyl 6A)"", ""length"": 190.9, ""submodel_id"": 65277, ""id"": 23519, ""trim_id"": 23519, ""wheel_base"": 109.3, ""seats"": 5, ""combined_mpg"": 28.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 178, ""model_id"": 4779, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4100.0, ""submodel"": ""XSE"", ""cargo_capacity"": 15.4, ""epa_combined_mpg_electric"": """", ""img_path"": ""58fed4be88de4f60831756b94a34054d.jpeg"", ""cylinders"": ""I4"", ""height"": 57.9, ""trim"": ""XSE"", ""torque_ft_lbs"": 170.0, ""epa_kwh_100_mi_electric"": """", ""size"": 2.5, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 25.0, ""invoice"": ""28546"", ""ground_clearance"": """", ""range_city"": 425, ""range_highway"": 595, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 6A)"", ""engine_type"": ""gas"", ""width"": 71.7, ""model"": ""Camry"", ""transmission"": ""6-speed shiftable automatic"", ""fuel_tank_capacity"": 17.0, ""expected_value_2027"": 12861.7, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
cars,2020-Corolla-L-L 4dr Sedan (1.8L 4cyl 4A),"{""epa_city_mpg_electric"": """", ""max_towing_capacity"": """", ""fuel_type"": ""regular unleaded"", ""range_electric"": """", ""make"": ""Toyota"", ""estimated_current_cost"": 7897.5, ""valves"": 16, ""series"": """", ""valve_timing"": ""Variable"", ""front_track"": """", ""battery_capacity_electric"": """", ""make_id"": 22, ""cam_type"": ""Double overhead cam (DOHC)"", ""epa_highway_mpg"": 37, ""curb_weight"": 2800.0, ""created"": ""2023-06-29T21:05:55-04:00"", ""drive_type"": ""front wheel drive"", ""msrp"": 17550, ""description"": ""L 4dr Sedan (1.8L 4cyl 4A)"", ""trim_description"": ""L 4dr Sedan (1.8L 4cyl 6M)"", ""length"": 182.6, ""submodel_id"": 65278, ""id"": 23526, ""trim_id"": 23526, ""wheel_base"": 106.3, ""seats"": 5, ""combined_mpg"": 31.0, ""doors"": 4, ""max_payload"": """", ""horsepower_rpm"": 6000, ""horsepower_hp"": 132, ""model_id"": 3917, ""year"": 2020, ""type"": ""Sedan"", ""torque_rpm"": 4400.0, ""submodel"": ""L"", ""cargo_capacity"": 13.0, ""epa_combined_mpg_electric"": """", ""img_path"": ""3e2ac01d592644cd86570f16b292d93a.jpeg"", ""cylinders"": ""I4"", ""height"": 57.3, ""trim"": ""L"", ""torque_ft_lbs"": 128.0, ""epa_kwh_100_mi_electric"": """", ""size"": 1.8, ""epa_time_to_charge_hr_240v_electric"": """", ""epa_city_mpg"": 28.0, ""invoice"": ""16585"", ""ground_clearance"": """", ""range_city"": 370, ""range_highway"": 488, ""rear_track"": """", ""gross_weight"": """", ""hack-id"": ""2020-Corolla-L-L 4dr Sedan (1.8L 4cyl 4A)"", ""engine_type"": ""gas"", ""width"": 69.9, ""model"": ""Corolla"", ""transmission"": ""6-speed manual"", ""fuel_tank_capacity"": 13.2, ""expected_value_2027"": 7195.5, ""epa_highway_mpg_electric"": """", ""max_cargo_capacity"": """", ""modified"": ""2023-06-29T21:05:55-04:00""}"
