hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric,estimated_current_cost,expected_value_2027,img_path
2023-Tacoma-Limited-Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),15054,22,5688,70133,2023,Toyota,Tacoma,,Limited,Limited,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),37340,34592,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15054,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),Truck (Double Cab),4,212.3,75.2,5,70.6,127.4,,,9.4,,,4230.0,5600.0,1370.0,6500.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,26884.8,19416.8,
2022-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),18003,22,5688,68480,2022,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),33530,31064,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18003,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,23,380,485,,,,,,,,20453.3,15088.5,
2022-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 6A),17898,22,4779,68429,2022,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 6A),31370,28547,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17898,XSE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,15.4,,3350.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,27,24,33,408,561,,,,,,,,19135.7,14116.5,
2020-4Runner-Limited-Limited 4dr SUV (4.0L 6cyl 5A),23506,22,4841,65292,2020,Toyota,4Runner,,Limited,Limited,Limited 4dr SUV (4.0L 6cyl 5A),41585,38259,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23506,Limited 4dr SUV (4.0L 6cyl 5A),SUV,5,190.7,75.8,5,71.5,109.8,,,9.0,46.3,88.8,4525.0,6100.0,1575.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,18713.25,17049.85,
2024-Corolla-XSE-XSE 4dr Sedan (1.8L 4cyl CVT),11873,22,3917,71797,2024,Toyota,Corolla,,XSE,XSE,XSE 4dr Sedan (1.8L 4cyl CVT),22880,21185,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11873,XSE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2885.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,,19219.2,13956.8,
2021-Tacoma-SR-SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),20775,22,5688,66874,2021,Toyota,Tacoma,,SR,SR,SR 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 5M),25185,23612,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20775,SR 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,13096.2,10766.5875,
2021-Corolla-LE Premium-LE Premium 4dr Sedan (1.8L 4cyl CVT),20698,22,3917,66838,2021,Toyota,Corolla,,LE,LE,LE Premium 4dr Sedan (1.8L 4cyl CVT),22195,20550,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20698,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,,11541.4,9488.3625,
2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),23523,22,4779,65271,2020,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),26790,24647,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23523,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,,13.1,,3485.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,41,43,39,731,663,,,,,,,,12055.5,10983.9,
2023-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 8A),14931,22,4779,70079,2023,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 8A),35100,31942,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14931,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,,25272.0,18252.0,
2022-Tacoma-SR5-SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),17996,22,5688,68479,2022,Toyota,Tacoma,,SR5,SR5,SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),29155,27311,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17996,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,17784.55,13119.75,
