hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric
2015-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 6A),23551,22,3200,65282,2015,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 6A),80155,71739,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23551,4dr SUV 4WD (5.7L 8cyl 6A),SUV,5,194.9,77.6,8,74.0,112.2,64.6,64.4,8.9,16.1,81.7,5765.0,7275.0,1510.0,8200.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,6-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,
2016-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),20722,22,3200,66842,2016,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),83825,75024,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20722,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,77.9,8,74.0,112.2,,,9.1,16.1,81.7,5815.0,7385.0,1320.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,
2017-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),17933,22,3200,68437,2017,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),84775,75875,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17933,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,77.6,8,74.0,112.2,,,8.9,16.1,81.7,5765.0,7275.0,1510.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,
2018-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),14965,22,3200,70086,2018,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),84565,75685,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14965,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,78.0,8,74.0,112.2,,,8.9,16.1,81.7,5815.0,7385.0,1570.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,
2019-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),11899,22,3200,71798,2019,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),85165,76222,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11899,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,78.0,8,74.0,112.2,,,8.9,16.1,81.7,5815.0,7385.0,1570.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,15,13,18,320,443,,,,,,,
2020-Land Cruiser-Base-4dr SUV 4WD (5.7L 8cyl 8A),8913,22,3200,73520,2020,Toyota,Land Cruiser,,Base,Base,4dr SUV 4WD (5.7L 8cyl 8A),85415,76446,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8913,4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,78.0,8,74.0,112.2,,,8.9,16.1,82.8,5815.0,7385.0,1570.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,14,13,17,320,418,,,,,,,
2020-Land Cruiser-Heritage Edition-Heritage Edition 4dr SUV 4WD (5.7L 8cyl 8A),8914,22,3200,73521,2020,Toyota,Land Cruiser,,Heritage Edition,Heritage Edition,Heritage Edition 4dr SUV 4WD (5.7L 8cyl 8A),87745,78532,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8914,Heritage Edition 4dr SUV 4WD (5.7L 8cyl 8A),SUV,5,194.9,78.0,5,74.0,112.2,,,8.9,,82.8,5715.0,7385.0,1570.0,8100.0,gas,regular unleaded,V8,5.7,381,5600,401.0,3600.0,32,Variable,Double overhead cam (DOHC),four wheel drive,8-speed shiftable automatic,24.6,14,13,17,320,418,,,,,,,
2015-Corolla-L-L 4dr Sedan (1.8L 4cyl 6M),23526,22,3917,65278,2015,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 6M),16950,16018,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23526,L 4dr Sedan (1.8L 4cyl 6M),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2800.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,13.2,31,28,37,370,488,,,,,,,
2015-Corolla-L-L 4dr Sedan (1.8L 4cyl 4A),23526,22,3917,65278,2015,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl 4A),17550,16585,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23526,L 4dr Sedan (1.8L 4cyl 6M),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2800.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed manual,13.2,31,28,37,370,488,,,,,,,
2015-Corolla-LE-LE 4dr Sedan (1.8L 4cyl CVT),23528,22,3917,65279,2015,Toyota,Corolla,,LE,LE,LE 4dr Sedan (1.8L 4cyl CVT),18565,17189,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23528,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,
